transaction_id,amount_usd,merchant_category,card_type,auth_method,channel,device_type,is_foreign_transaction,hours_since_last_txn,txn_count_last_24h,distance_from_home_km,card_age_months,customer_age,account_balance_usd,is_new_merchant,used_vpn,ip_country_mismatch,billing_shipping_mismatch,cvv_retry_count,velocity_score,time_of_day_hour,day_of_week,is_ai_generated_scam_attempt,merchant_risk_score,prior_disputes,is_fraud
1,42.86,Restaurants,Visa,OTP,Online,Android Phone,FALSE,13.54,2,22.35,39,25,1080.71,FALSE,FALSE,FALSE,FALSE,0,0.1,18,3,FALSE,42.3,0,0
2,4.75,Online Retail,Mastercard,3D Secure,Online,Android Phone,FALSE,0.71,2,35.28,47,33,4463.72,TRUE,FALSE,FALSE,FALSE,0,25.8,12,4,FALSE,28.3,0,0
3,77.18,Groceries,Mastercard,3D Secure,Online,Mac,FALSE,0.35,5,9.82,51,59,366.25,FALSE,TRUE,FALSE,TRUE,0,42.3,5,0,FALSE,24.7,1,0
4,1.69,Streaming,Visa,No Authentication,POS,Android Phone,FALSE,3.42,6,19.72,48,28,1345.29,TRUE,FALSE,FALSE,FALSE,0,28.9,22,6,FALSE,56.2,1,0
5,261.68,Travel,Visa,3D Secure,In-App,iPhone,FALSE,2.43,2,17.68,43,36,4192.59,FALSE,FALSE,FALSE,FALSE,0,3.9,2,4,FALSE,32.7,0,0
6,119.72,Gift Cards,Amex,Biometric,Contactless,iPhone,FALSE,5.94,4,60.78,61,18,844.16,TRUE,FALSE,FALSE,FALSE,0,15.2,5,1,FALSE,81.2,0,0
7,139.71,Electronics,RuPay,3D Secure,In-App,POS Terminal,FALSE,18.31,6,25.71,46,49,1235.77,FALSE,FALSE,FALSE,FALSE,1,24.5,1,3,FALSE,63,0,0
8,340.68,Electronics,Visa,3D Secure,Online,ATM Machine,FALSE,25.56,2,28.91,46,44,815.37,FALSE,FALSE,FALSE,FALSE,0,15.9,15,5,FALSE,52.9,0,0
9,116.41,Groceries,Mastercard,Biometric,Online,iPhone,FALSE,6.28,2,28.58,49,44,1165.12,FALSE,FALSE,FALSE,FALSE,0,25.5,7,4,FALSE,39.8,1,0
10,154.65,Groceries,Visa,PIN,Online,Tablet,FALSE,0.78,5,4.3,42,62,1938.48,FALSE,FALSE,FALSE,FALSE,0,30.7,11,5,FALSE,38.3,0,0
11,64.78,Groceries,Discover,3D Secure,POS,POS Terminal,FALSE,0.32,3,18.06,46,20,1962.45,FALSE,FALSE,FALSE,FALSE,0,26.8,13,5,FALSE,36.8,0,0
12,166.57,Travel,RuPay,PIN,Online,iPhone,FALSE,5.78,3,6.63,46,73,1623.67,FALSE,FALSE,FALSE,FALSE,0,36,14,4,FALSE,27.1,0,0
13,37.45,Gift Cards,Mastercard,OTP,ATM,Android Phone,FALSE,11.63,2,13.77,41,24,1200.48,TRUE,FALSE,FALSE,FALSE,0,11.1,6,6,FALSE,64.4,0,0
